Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,Description,Comments,RoHS Status,Lead Free Status,REACH Status
342-1082-1-ND,HONEYWELL MICROELECTRONICS & PRECISION SENSORS (VA),HMC5883L-TR,,1,100,200,IC COMPASS 3 AXIS I2C 16LCC SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
445-2512-1-ND,TDK CORPORATION (VA),C2012X8R1E224K125AA,,1,100,200,CAP CER 0.22UF 25V 10% X8R 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Apr-2011
399-1177-1-ND,KEMET (VA),C0805C104Z5VACTU,,12,1200,2400,CAP CER 0.1UF 50V Y5V 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2012
445-1343-1-ND,TDK CORPORATION (VA),C2012X7R2A103K085AA,,1,100,200,CAP CER 10000PF 100V X7R 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Apr-2011
P10KACT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-6GEYJ103V,,6,600,1200,RES 10K OHM 1/8W 5% 0805 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
399-3687-1-ND,KEMET (VA),T491A106M016AT,,4,400,800,CAP TANT 10UF 16V 20% 1206,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2012
887-1086-1-ND,TXC CORPORATION (VA),7A-16.000MAAJ-T,,1,100,200,CRYSTAL 16.000MHZ 18PF SMD,Alternate Packaging Exists,RoHS Compliant,Lead free by exemption,Unaffected Nov-2011
P1.0KACT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-6GEYJ102V,,10,1000,2000,RES 1.0K OHM 1/8W 5% 0805 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
399-8011-1-ND,KEMET (VA),C0805C105Z4VACTU,,7,700,1400,CAP CER 1UF 16V Y5V 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2012
P2.2KACT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-6GEYJ222V,,4,400,800,RES 2.2K OHM 1/8W 5% 0805 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
445-1339-1-ND,TDK CORPORATION (VA),C2012X7R2A222K085AA,,1,100,200,CAP CER 2200PF 100V 10% X7R 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Apr-2011
P200ACT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-6GEYJ201V,,4,400,800,RES 200 OHM 1/8W 5% 0805 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
399-1113-1-ND,KEMET (VA),C0805C220J5GACTU,,3,300,600,CAP CER 22PF 50V 5% NP0 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2012
P330ACT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-6GEYJ331V,,1,100,200,RES 330 OHM 1/8W 5% 0805 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
399-1115-1-ND,KEMET (VA),C0805C330J5GACTU,,1,100,200,CAP CER 33PF 50V 5% NP0 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2012
P4.7KACT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-6GEYJ472V,,1,100,200,RES 4.7K OHM 1/8W 5% 0805 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
160-1169-1-ND,LITE-ON INC (VA),LTST-C150GKT,,5,500,1000,LED GREEN CLEAR 1206 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
296-33359-5-ND,TEXAS INSTRUMENTS,MAX232ECPW,,1,100,200,IC DUAL RS232 ESD-PROT 16-TSSOP,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2012
2N7002W-TPMSCT-ND,MICRO COMMERCIAL CO (VA),2N7002W-TP,,2,200,400,MOSFET N-CH 60V 115MA SOT-323,,RoHS Compliant,Lead free,Unaffected Jun-2012
A35109-ND,TE CONNECTIVITY AMP,1734348-1,,1,100,200,CONN D-SUB RCPT R/A 9POS GOLD/FL,,RoHS Compliant,Lead free,Unaffected Aug-2011
160-1168-1-ND,LITE-ON INC (VA),LTST-C150EKT,,2,200,400,LED RED ORANGE CLEAR 1206 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
EG2531CT-ND,E-SWITCH (VA),TL3342F160QG/TR,,1,100,200,SWITCH TACTILE SPST-NO 0.05A 12V,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2012
576-1786-5-ND,MICREL INC,MIC3975-3.3YMM,,1,100,200,IC REG LDO 3.3V .75A 8-MSOP,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2012
576-2313-ND,MICREL INC,MIC3975-5.0YMM,,1,100,200,IC REG LDO 5V .75A 8-MSOP,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2012
399-3134-1-ND,KEMET (VA),C0805C475K9PACTU,,1,100,200,CAP CER 4.7UF 6.3V 10% X5R 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2012
ATMEGA328P-AU-ND,ATMEL,ATMEGA328P-AU,,1,100,200,IC MCU 8BIT 32KB FLASH 32TQFP,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2012
